January,,,,,,,,
Week 1,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Jan. 05, 2026","Jan. 06, 2026","Jan. 07, 2026","Jan. 08, 2026","Jan. 09, 2026","Jan. 10, 2026","Jan. 11, 2026",
New texts,"4,787","4,676","4,889",,,,,"14,352"
Conversations,50,52,46,57,39,,,244
# of Agents into world,43,32,42,11,12,,,140
# of On Market Properties,2,3,6,8,4,,,23
# of Off-Market Properties,5,16,2,4,11,,,38
# of Offers Sent,3,5,,1,1,,,10
# of Offers Ratified,,,,1,,,,1
# of Deals that didn't sell,,,,,,,,1
# of Deals Closed,,,,,,,,0
Week 2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Jan. 12, 2026","Jan. 13, 2026","Jan. 14, 2026","Jan. 15, 2026","Jan. 16, 2026","Jan. 17, 2026","Jan. 18, 2026",
New texts,"2,239",,,,"2,422",,,"4,661"
Conversations,23,15,10,38,25,,,111
# of Agents into world,6,4,5,68,9,,,92
# of On Market Properties,2,4,4,,6,,,16
# of Off-Market Properties,9,4,,2,4,,,19
# of Offers Sent,3,2,2,1,,,,8
# of Offers Ratified,,,,1,,,,1
# of Deals that didn't sell,,,,,,,,2
# of Deals Closed,,,,,,,,0
Week 3,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Jan. 19, 2026","Jan. 20, 2026","Jan. 21, 2026","Jan. 22, 2026","Jan. 23, 2026","Jan. 24, 2026","Jan. 25, 2026",
New texts,"2,439","2,462","2,481","2,714","1,831",,,"11,927"
Conversations,18,49,83,31,38,,,219
# of Agents into world,6,38,59,12,11,,,
# of On Market Properties,4,6,13,6,10,,,39
# of Off-Market Properties,4,2,7,5,7,,,25
# of Offers Sent,,1,1,,,,,2
# of Offers Ratified,,,,,,,,0
# of Deals that didn't sell,,,,,,,,
# of Deals Closed,,,,,,,,0
Week 4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Jan. 26, 2026","Jan. 27, 2026","Jan. 28, 2026","Jan. 29, 2026","Jan. 30, 2026","Jan. 31, 2026",,
New texts,"5,626","6,346","5,865","4,704",,,,"22,541"
Conversations,51,73,50,42,22,,,238
# of Agents into world,67,28,35,8,11,,,
# of On Market Properties,,,,,,,,0
# of Off-Market Properties,16,16,11,7,5,,,55
# of Offers Sent,5,3,2,,,,,10
# of Offers Ratified,,,2,,,,,2
# of Deals that didn't sell,,,,,,,,
# of Deals Closed,,,,,,,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
New Texts,"53,481",,,,,,,
Conversations,812,,,,,,,
Agents added to the world,232,,,,,,,
# of New Properties,,,,,,,,
# of Off-Market Properties,93,,,,,,,
# of Offers Sent,109,,,,,,,
# of Deals that didn't sell,3,,,,,,,
# of Signed Deals,3,,,,,,,
