,,,,,,,,,
Week 1,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total,
Date,,,"Oct. 01, 2025","Oct. 02, 2025","Oct. 03, 2025","Oct. 04, 2025","Oct. 05, 2025",,
New texts,,,"2,219",636,895,,,"3,750",
Conversations,,,59,48,59,,,166,
# of Agents into world,,,4,1,2,,,,
# of On Market Properties,,,7,2,2,,,11,
# of Off-Market Properties,,,11,5,6,,,22,
# of Offers Sent,,,5,3,4,,,12,
# of Offers Ratified,,,,,,,2,2,*1 Retail deal
# of Deals that didn't sell,,,,,,,,,
# of Deals Closed,,,,,,,,0,
,,,,,,,,,
Week 2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total,
Date,"Oct. 06, 2025","Oct. 07, 2025","Oct. 08, 2025","Oct. 09, 2025","Oct. 10, 2025","Oct. 11, 2025","Oct. 12, 2025",,
New texts,"3,880",931,"3,854",828,"1,718",,,"11,211",
Conversations,35,26,56,34,32,,,183,
# of Agents into world,2,2,3,1,3,,,,
# of On Market Properties,5,4,6,3,6,,,24,
# of Off-Market Properties,3,2,13,4,6,,,28,
# of Offers Sent,3,3,2,1,,,,9,
# of Offers Ratified,,,,1,,,,1,
# of Deals that didn't sell,,,,,,,,,
# of Deals Closed,,,,,,,,0,
Week 3,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total,
Date,"Oct. 13, 2025","Oct. 14, 2025","Oct. 15, 2025","Oct. 16, 2025","Oct. 17, 2025","Oct. 18, 2025","Oct. 19, 2025",,
New texts,"5,739","4,082","2,702","2,239","6,893",,,"21,655",
Conversations,74,54,60,68,72,,,328,
# of Agents into world,4,2,3,2,3,,,,
# of On Market Properties,9,6,7,4,9,,,35,
# of Off-Market Properties,7,8,8,5,14,,,42,
# of Offers Sent,1,2,1,4,,,,8,
# of Offers Ratified,1,,,,,,,1,
# of Deals that didn't sell,,,,,,,,,
# of Deals Closed,,,,,,,,0,
Week 4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total,
Date,"Oct. 20, 2025","Oct. 21, 2025","Oct. 22, 2025","Oct. 23, 2025","Oct. 24, 2025","Oct. 25, 2025","Oct. 26, 2025",,
New texts,,"5,590","1,700","1,747","2,869",,,"11,906",
Conversations,18,74,36,28,48,,,204,
# of Agents into world,,2,,1,,,,,
# of On Market Properties,12,8,3,2,2,,,27,
# of Off-Market Properties,5,11,1,5,10,,,32,
# of Offers Sent,,2,3,,2,,,7,
# of Offers Ratified,,,,,,,,0,
# of Deals that didn't sell,,,,,,,,,
# of Deals Closed,,,,,,,,0,
Week 5,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total,
Date,"Oct. 27, 2025","Oct. 28, 2025","Oct. 29, 2025","Oct. 30, 2025","Oct. 31, 2025",,,,
New texts,"2,211",,,,,,,"2,211",
Conversations,18,32,58,52,26,,,186,
# of Agents into world,,,,,,,,,
# of On Market Properties,,1,,2,,,,3,
# of Off-Market Properties,6,3,2,,,,,11,
# of Offers Sent,3,,4,4,,,,11,
# of Offers Ratified,,,,,4,,,4,
# of Deals that didn't sell,,,,,,,,,
# of Deals Closed,,,,,,,,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
New Texts,"48,522",,,,,,,,
Conversations,881,,,,,,,,
# of New Properties,,,,,,,,,
# of Off-Market Properties,108,,,,,,,,
# of Offers Sent,114,,,,,,,,
# of Deals that didn't sell,,,,,,,,,
# of Signed Deals,8,,,,,,,,
