,,,,,,,,
Week 1,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Sept. 01, 2025","Sept. 02, 2025","Sept. 03, 2025","Sept. 04, 2025","Sept. 05, 2025","Sept. 06, 2025","Sept. 07, 2025",
New texts,,"2,500","1,902","2,417","2,730",,,"9,549"
Conversations,,64,45,48,79,,,236
# of New Properties,N/A,N/A,N/A,N/A,N/A,,,0
# of Off-Market Properties,,24,8,4,18,5,,59
# of Offers Sent,,3,1,2,2,,,8
# of Offers Ratified,3,,,1,,,,4
# of Deals that didn't sell,,,,,,,,
# of Deals Closed,,,,,,,,0
,,,,,,,,
Week 2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Sept. 08, 2025","Sept. 09, 2025","Sept. 10, 2025","Sept. 11, 2025","Sept. 12, 2025","Sept. 13, 2025","Sept. 14, 2025",
New texts,"2,901","2,817","3,065","4,128","3,262",,,"16,173"
Conversations,56,38,40,37,33,,,204
# of New Properties,N/A,N/A,N/A,N/A,N/A,,,0
# of Off-Market Properties,11,6,5,8,6,1,,37
# of Offers Sent,2,2,,,,,,4
# of Offers Ratified,,,1,,,1,,2
# of Deals that didn't sell,,,,,,1,,1
# of Deals Closed,,,,,,,,0
,,,,,,,,
Week 3,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Sept. 15, 2025","Sept. 16, 2025","Sept. 17, 2025","Sept. 18, 2025","Sept. 19, 2025","Sept. 20, 2025","Sept. 21, 2025",
New texts,"3,168","3,319","3,259","4,294","3,209",,,"17,249"
Conversations,55,25,46,63,34,,,223
# of New Properties,N/A,N/A,N/A,N/A,N/A,,,0
# of Off-Market Properties,10,8,7,12,7,,,44
# of Offers Sent,1,1,2,2,,,,6
# of Offers Ratified,,,1,1,,,,2
# of Deals that didn't sell,,,,,,,,
# of Deals Closed,,,,,,,,0
,,,,,,,,
Week 4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Sept. 22, 2025","Sept. 23, 2025","Sept. 24, 2025","Sept. 25, 2025","Sept. 26, 2025","Sept. 27, 2025","Sept. 28, 2025",
New texts,"4,061","4,148",893,"3,768","3,814",,,"16,684"
Conversations,56,41,41,48,41,,,227
# of New Properties,N/A,N/A,N/A,N/A,N/A,,,0
# of Off-Market Properties,8,12,7,5,11,,,43
# of Offers Sent,2,,1,1,,,,4
# of Offers Ratified,,,,2,,,,2
# of Deals that didn't sell,,,1,,,,,1
# of Deals Closed,,,,,,,,0
,,,,,,,,
Week 5,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Date,"Sept. 30, 2025",,,,,,,
New texts,"2,327",,,,,,,"2,327"
Conversations,52,,,,,,,52
# of New Properties,N/A,,,,,,,0
# of Off-Market Properties,5,,,,,,,5
# of Offers Sent,2,,,,,,,2
# of Offers Ratified,,,,,,,,0
# of Deals that didn't sell,,,,,,,,1
# of Deals Closed,,,,,,,,0
,,,,,,,,
New Texts,"59,655",,,,,,,
Conversations,890,,,,,,,
# of New Properties,188,,,,,,,
# of Off-Market Properties,183,,,,,,,
# of Offers Sent,22,,,,,,,
# of Deals that didn't sell,2,,,,,,,
# of Signed Deals,11,,,,,,,
